"","X","subjNum","groupStatus","numDist","conf","hitCount","allOldCount","rtHit","faCount","allNewCount","rtFA","distPresent","hitRate","faRate","dprime","mmi","adhd","bis"
"532",532,71,"HMM",0,"hi",18,25,2.0195305,8,50,2.1066855,"nodist",0.711538461538462,0.166666666666667,1.5253063289413,7.26,5,71
"540",540,72,"HMM",0,"hi",9,25,0.985799,10,50,1.018827,"nodist",0.365384615384615,0.205882352941176,0.476689625449365,5.81,2,52
"548",548,73,"",0,"hi",9,25,1.161064,20,50,1.2986245,"nodist",0.365384615384615,0.401960784313726,-0.0958273697758994,3.3,1,48
"554",554,74,"LMM",0,"hi",5,25,1.318999,3,50,1.113037,"nodist",0.211538461538462,0.0686274509803922,0.684997040048506,2.16,4,76
"562",562,75,"LMM",0,"hi",9,25,1.689534,0,50,NA,"nodist",0.365384615384615,0.00980392156862745,1.98966611192412,2.68,3,68
"570",570,77,"LMM",0,"hi",6,25,0.779151,3,50,0.710227,"nodist",0.25,0.0686274509803922,0.811601819134374,2.95,5,92
"578",578,78,"LMM",0,"hi",5,25,1.205529,3,50,1.011167,"nodist",0.211538461538462,0.0686274509803922,0.684997040048506,2.73,1,59
"586",586,79,"",0,"hi",9,25,0.891169,10,50,1.015357,"nodist",0.365384615384615,0.205882352941176,0.476689625449365,5.41,2,46
"592",592,80,"LMM",0,"hi",16,25,0.872474,4,50,0.9507205,"nodist",0.634615384615385,0.0882352941176471,1.69580470281368,1.17,1,41
"598",598,81,"LMM",0,"hi",7,25,0.834435,12,50,1.0224715,"nodist",0.288461538461538,0.245098039215686,0.132112230019184,2.88,3,58
"606",606,82,"",0,"hi",16,25,0.9554195,4,50,1.175182,"nodist",0.634615384615385,0.0882352941176471,1.69580470281368,5.59,3,67
"614",614,83,"",0,"hi",8,25,1.003209,7,50,0.979916,"nodist",0.326923076923077,0.147058823529412,0.600705914658036,5.4,5,65
"622",622,84,"",0,"hi",10,25,0.8129215,3,50,0.876379,"nodist",0.403846153846154,0.0686274509803922,1.24268739151983,4.13,3,62
"630",630,85,"HMM",0,"hi",7,25,0.919966,0,50,NA,"nodist",0.288461538461538,0.00980392156862745,1.77588381196754,7.36,5,67
"638",638,86,"",0,"hi",16,25,0.813786,9,50,0.886115,"nodist",0.634615384615385,0.186274509803922,1.23581129255642,5.24,2,65
"645",645,87,"",0,"hi",14,25,0.90365,1,50,0.799443,"nodist",0.557692307692308,0.0294117647058824,2.0346309015442,3.45,3,67
"653",653,88,"LMM",0,"hi",11,25,0.911524,2,50,1.4729665,"nodist",0.442307692307692,0.0490196078431373,1.50931378447948,2.6,1,50
"661",661,89,"",0,"hi",4,25,1.137408,NA,NA,NA,"nodist",0.173076923076923,NA,NA,4.13,5,60
"669",669,90,"HMM",0,"hi",8,25,1.0082755,4,50,1.1777015,"nodist",0.326923076923077,0.0882352941176471,0.903276756624727,6.47,0,43
"677",677,91,"LMM",0,"hi",12,25,0.81642,18,50,0.871361,"nodist",0.480769230769231,0.362745098039216,0.302907761233542,2.7,1,60
"685",685,92,"",0,"hi",13,25,0.881733,0,50,NA,"nodist",0.519230769230769,0.00980392156862745,2.38199164836306,3.78,5,93
"693",693,93,"",0,"hi",6,25,1.2001265,1,50,1.2968,"nodist",0.25,0.0294117647058824,1.21502021013735,5.46,4,62
"701",701,94,"",0,"hi",3,25,1.206874,0,50,NA,"nodist",0.134615384615385,0.00980392156862745,1.22893283084503,4.79,2,49
"709",709,95,"",0,"hi",8,25,0.880484,12,50,1.1206085,"nodist",0.326923076923077,0.245098039215686,0.241571509552848,4.84,4,77
"717",717,96,"LMM",0,"hi",9,25,0.86143,4,50,1.0528515,"nodist",0.365384615384615,0.0882352941176471,1.00759977704765,0.55,4,77
"725",725,97,"HMM",0,"hi",9,25,1.086022,6,50,0.9260535,"nodist",0.365384615384615,0.127450980392157,0.794421015577053,7.82,5,71
"733",733,98,"",0,"hi",21,25,0.745504,5,50,0.664175,"nodist",0.826923076923077,0.107843137254902,2.18015611054288,5.43,4,64
"741",741,99,"LMM",0,"hi",9,25,1.079512,4,50,0.970907,"nodist",0.365384615384615,0.0882352941176471,1.00759977704765,2.66,0,55
"749",749,100,"",0,"hi",14,25,0.9184555,5,50,1.160954,"nodist",0.557692307692308,0.107843137254902,1.38320127675788,4.92,2,61
"757",757,101,"",0,"hi",20,25,0.911503,0,50,NA,"nodist",0.788461538461538,0.00980392156862745,3.13486310408909,3.11,3,66
"765",765,102,"LMM",0,"hi",13,25,2.018775,7,50,2.367901,"nodist",0.519230769230769,0.147058823529412,1.09735447151989,2.28,0,56
"773",773,103,"",0,"hi",7,25,0.896231,2,50,1.130983,"nodist",0.288461538461538,0.0490196078431373,1.09654996285065,4.32,2,59
"781",781,104,"LMM",0,"hi",6,25,0.8399685,0,50,NA,"nodist",0.25,0.00980392156862745,1.65927882461106,1.09,4,77
"789",789,105,"LMM",0,"hi",6,25,1.559597,2,50,2.6137165,"nodist",0.25,0.0490196078431373,0.979944975494171,2.92,2,65
"797",797,106,"",0,"hi",10,25,0.951634,3,50,1.219793,"nodist",0.403846153846154,0.0686274509803922,1.24268739151983,4.34,3,53
"805",805,107,"",0,"hi",14,25,1.1020785,7,50,1.068209,"nodist",0.557692307692308,0.147058823529412,1.19425233917475,4.71,0,58
"813",813,108,"HMM",0,"hi",5,25,0.599495,6,50,0.988629,"nodist",0.211538461538462,0.127450980392157,0.337428949178119,7.18,3,76
"821",821,110,"HMM",0,"hi",3,25,1.212626,0,50,NA,"nodist",0.134615384615385,0.00980392156862745,1.22893283084503,7.45,5,67
"829",829,111,"",0,"hi",11,25,1.018387,11,50,0.943375,"nodist",0.442307692307692,0.225490196078431,0.608660629062371,3.13,0,60
"837",837,112,"",0,"hi",1,25,0.899687,1,50,1.218838,"nodist",0.0576923076923077,0.0294117647058824,0.315064995116388,3.19,1,82
"845",845,113,"",0,"hi",10,25,0.9753745,11,50,0.788695,"nodist",0.403846153846154,0.225490196078431,0.510377392462513,3.27,2,68
"849",849,114,"HMM",0,"hi",2,25,1.951741,1,50,2.153172,"nodist",0.0961538461538462,0.0294117647058824,0.585727288229944,5.84,2,49
"857",857,115,"HMM",0,"hi",14,25,1.1534125,12,50,1.101664,"nodist",0.557692307692308,0.245098039215686,0.835117934069557,8.97,4,80
"865",865,116,"",0,"hi",9,25,1.045149,2,50,1.3177875,"nodist",0.365384615384615,0.0490196078431373,1.31033226280724,3.22,2,67
"873",873,117,"",0,"hi",14,25,0.859304,10,50,1.101208,"nodist",0.557692307692308,0.205882352941176,0.965913029543154,4.73,4,57
"881",881,118,"HMM",0,"hi",9,25,1.780193,3,50,1.950127,"nodist",0.365384615384615,0.0686274509803922,1.14198910644744,5.89,1,60
"889",889,119,"",0,"hi",12,25,0.909699,4,50,0.982241,"nodist",0.480769230769231,0.0882352941176471,1.30347916637474,4.58,3,55
"897",897,120,"LMM",0,"hi",8,25,1.244821,1,50,1.114966,"nodist",0.326923076923077,0.0294117647058824,1.4410844770275,2.47,1,57
"905",905,121,"HMM",0,"hi",12,25,0.8985815,10,50,0.844784,"nodist",0.480769230769231,0.205882352941176,0.772569014776458,6.74,3,63
"913",913,122,"LMM",0,"hi",8,25,1.110154,0,50,NA,"nodist",0.326923076923077,0.00980392156862745,1.8853430915012,2.11,1,64
"921",921,123,"",0,"hi",7,25,1.106186,0,50,NA,"nodist",0.288461538461538,0.00980392156862745,1.77588381196754,3.98,1,68
"929",929,124,"LMM",0,"hi",6,25,1.237695,0,50,NA,"nodist",0.25,0.00980392156862745,1.65927882461106,2.01,0,40
"937",937,125,"HMM",0,"hi",12,25,0.82173,2,50,1.09094,"nodist",0.480769230769231,0.0490196078431373,1.60621165213433,7.1,1,54
"945",945,126,"",0,"hi",5,25,0.972566,0,50,NA,"nodist",0.211538461538462,0.00980392156862745,1.53267404552519,3.47,1,55
"953",953,127,"HMM",0,"hi",10,25,0.8990825,1,50,1.154675,"nodist",0.403846153846154,0.0294117647058824,1.6461057825228,6.24,3,65
"961",961,128,"",0,"hi",2,25,1.8245065,0,50,NA,"nodist",0.0961538461538462,0.00980392156862745,1.02998590270365,3.19,3,63
"969",969,129,"",0,"hi",7,25,0.75395,0,50,NA,"nodist",0.288461538461538,0.00980392156862745,1.77588381196754,4.8,3,71
"977",977,130,"",0,"hi",6,25,1.057255,2,50,1.2292955,"nodist",0.25,0.0490196078431373,0.979944975494171,3.7,4,56
"985",985,131,"LMM",0,"hi",12,25,0.965958,5,50,1.123093,"nodist",0.480769230769231,0.107843137254902,1.18985726199119,2.44,0,58
"993",993,132,"LMM",0,"hi",9,25,0.75606,6,50,0.9130925,"nodist",0.365384615384615,0.127450980392157,0.794421015577053,2.73,2,48
"1001",1001,133,"",0,"hi",6,25,1.183594,0,50,NA,"nodist",0.25,0.00980392156862745,1.65927882461106,4.64,2,62
"1009",1009,134,"",0,"hi",3,25,1.06326,2,50,1.145411,"nodist",0.134615384615385,0.0490196078431373,0.549598981728142,5.18,3,59
"1017",1017,135,"",0,"hi",13,25,1.178465,4,50,1.358082,"nodist",0.519230769230769,0.0882352941176471,1.39992531348658,4.74,2,58
"1025",1025,136,"LMM",0,"hi",8,25,1.1101835,6,50,1.0386675,"nodist",0.326923076923077,0.127450980392157,0.690097995154134,2.19,3,73
"1033",1033,137,"",0,"hi",16,25,0.823959,1,50,1.056219,"nodist",0.634615384615385,0.0294117647058824,2.23361242321645,3.59,2,39
"1041",1041,138,"HMM",0,"hi",12,25,0.95996,1,50,0.878225,"nodist",0.480769230769231,0.0294117647058824,1.84128688677751,6.48,0,52
"1049",1049,139,"HMM",0,"hi",9,25,1.177506,1,50,1.478653,"nodist",0.365384615384615,0.0294117647058824,1.54540749745041,6.04,4,56
"1057",1057,140,"",0,"hi",6,25,0.991248,1,50,1.113164,"nodist",0.25,0.0294117647058824,1.21502021013735,3.31,1,64
"1065",1065,141,"HMM",0,"hi",10,25,0.739773,5,50,0.56316,"nodist",0.403846153846154,0.107843137254902,0.994676157736477,9.64,0,69
"1073",1073,142,"HMM",0,"hi",11,25,0.880254,8,50,0.9089795,"nodist",0.442307692307692,0.166666666666667,0.822300624890927,6.37,3,47
"1081",1081,143,"",0,"hi",6,25,1.8396935,3,50,1.8835,"nodist",0.25,0.0686274509803922,0.811601819134374,5.16,2,53
