"","X","subjNum","groupStatus","numDist","conf","hitCount","allOldCount","rtHit","faCount","allNewCount","rtFA","distPresent","hitRate","faRate","dprime","mmi","adhd","bis"
"474",474,63,"HMM",6,"hi",10,25,1.1645495,3,50,1.800354,"dist",0.403846153846154,0.0686274509803922,1.24268739151983,6.69,5,88
"476",476,64,"",0,"hi",9,25,0.862021,1,50,0.891908,"nodist",0.365384615384615,0.0294117647058824,1.54540749745041,4.28,0,62
"482",482,64,"",6,"hi",10,25,0.893626,1,50,0.891908,"dist",0.403846153846154,0.0294117647058824,1.6461057825228,4.28,0,62
"484",484,65,"",0,"hi",7,25,0.7644,2,50,1.1832945,"nodist",0.288461538461538,0.0490196078431373,1.09654996285065,3.27,0,53
"490",490,65,"",6,"hi",11,25,0.838269,2,50,1.1832945,"dist",0.442307692307692,0.0490196078431373,1.50931378447948,3.27,0,53
"492",492,66,"LMM",0,"hi",16,25,0.9401855,1,50,1.002205,"nodist",0.634615384615385,0.0294117647058824,2.23361242321645,1.29,1,50
"498",498,66,"LMM",6,"hi",7,25,0.871975,1,50,1.002205,"dist",0.288461538461538,0.0294117647058824,1.33162519749383,1.29,1,50
"500",500,67,"HMM",0,"hi",13,25,1.950873,3,50,2.157298,"nodist",0.519230769230769,0.0686274509803922,1.53431464288638,8.49,4,63
"506",506,67,"HMM",6,"hi",8,25,1.876203,3,50,2.157298,"dist",0.326923076923077,0.0686274509803922,1.03766608602452,8.49,4,63
"508",508,68,"",0,"hi",7,25,1.038335,3,50,1.036381,"nodist",0.288461538461538,0.0686274509803922,0.928206806490858,5.29,3,61
"514",514,68,"",6,"hi",11,25,0.94082,3,50,1.036381,"dist",0.442307692307692,0.0686274509803922,1.34097062811968,5.29,3,61
"516",516,69,"HMM",0,"hi",8,25,0.9697555,2,50,1.374644,"nodist",0.326923076923077,0.0490196078431373,1.20600924238432,6.67,4,64
"522",522,69,"HMM",6,"hi",9,25,0.9513,2,50,1.374644,"dist",0.365384615384615,0.0490196078431373,1.31033226280724,6.67,4,64
"524",524,70,"",0,"hi",14,25,1.088829,4,50,0.936884,"nodist",0.557692307692308,0.0882352941176471,1.49682318114144,4.51,1,55
